Name,URL,Address,City,Zip,State,Price,Bath,Bed,SquareFt
"14249 Burbank Boulevard Sherman Oaks, CA 91401",https://www.forsalebyowner.com/listing/_/647292b98b2f3108b4051314,14249 Burbank Boulevard,Sherman Oaks,91401,CA,1697000,7,7,0
"24303 Woolsey Cyn #6, Canoga Park, CA 91304 Canoga Park, CA 91304",https://www.forsalebyowner.com/listing/_/6365ca3460ad2b37ba0f0700,"24303 Woolsey Cyn #6, Canoga Park, CA 91304",Canoga Park,91304,CA,159900,2,3,1142
"12600 Van Nuys Blvd SPACE 76, Pacoima, CA 91331 Paicoma, CA 91331",https://www.forsalebyowner.com/listing/_/646fc0615e02454e1402036a,"12600 Van Nuys Blvd SPACE 76, Pacoima, CA 91331",Paicoma,91331,CA,199777,2,3,1040
"10799 Sherman Grove Ave SPACE 1, Sunland, CA 91040 Sunland, CA 91040",https://www.forsalebyowner.com/listing/_/646fb7b5b1c2cbcea6029a0b,"10799 Sherman Grove Ave SPACE 1, Sunland, CA 91040",Sunland,91040,CA,180000,2,3,700
"15486 Jonfin St #54, Mission Hills, CA 91345 Mission Hills, CA 91345",https://www.forsalebyowner.com/listing/_/646fb341df296ac1db009a8c,"15486 Jonfin St #54, Mission Hills, CA 91345",Mission Hills,91345,CA,180000,2,2,0
"7650 Balboa Blvd SPACE 139, Van Nuys, CA 91406 Van Nuys, CA 91406",https://www.forsalebyowner.com/listing/_/646f9091b1c2cbcea6029a0a,"7650 Balboa Blvd SPACE 139, Van Nuys, CA 91406",Van Nuys,91406,CA,150000,2,2,800
"13691 Gavina Ave UNIT 480, Sylmar, CA 91342 Sylmar, CA 91342",https://www.forsalebyowner.com/listing/_/62f648bc81c2f0cb130b254c,"13691 Gavina Ave UNIT 480, Sylmar, CA 91342",Sylmar,91342,CA,299900,2,3,1624
"37857 Avenida de Diego Palmdale, CA 93552",https://www.forsalebyowner.com/listing/_/6466bcb99af759b160056bff,37857 Avenida de Diego,Palmdale,93552,CA,500000,2,3,1851
"3930 Olmsted Avenue Los Angeles, CA 90008",https://www.forsalebyowner.com/listing/_/6466b101e5e6c9815c0c52f8,3930 Olmsted Avenue,Los Angeles,90008,CA,999000,2,3,1468
"1311 West Martin Luther King Junior Boulevard Los Angeles, CA 90037",https://www.forsalebyowner.com/listing/_/606b8cd830ac0778cb0fc775,1311 West Martin Luther King Junior Boulevard,Los Angeles,90037,CA,1700000,7,12,5564
"95th St E Avenue I Lancaster, CA 93535",https://www.forsalebyowner.com/listing/_/644af5157f3582179b0bba72,95th St E Avenue I,Lancaster,93535,CA,19950,0,0,54450
"3620 Montalvo St Los Angeles, CA 90065",https://www.forsalebyowner.com/listing/_/6441cc65a0d1c06aed0b0ae2,3620 Montalvo St,Los Angeles,90065,CA,489500,0,0,9850
"13644 Danbrook Drive Whittier, CA 90605",https://www.forsalebyowner.com/listing/_/6441aea1b93ac3b91d0d79e1,13644 Danbrook Drive,Whittier,90605,CA,799000,2.5,4,1141
"2601e ocean blvd, long beach, CA 90803",https://www.forsalebyowner.com/listing/_/64402f6db93ac3b91d0d79db,"2601e ocean blvd,",long beach,90803,CA,1360000,2,2,1356
"1807 Valley Park Avenue Hermosa Beach, CA 90254",https://www.forsalebyowner.com/listing/_/6423ce0953d606ad4f00f185,1807 Valley Park Avenue,Hermosa Beach,90254,CA,850000,1,1,531
"13147 Mercer Street Pacoima, CA 91343",https://www.forsalebyowner.com/listing/_/640562385aa7d3144d031a50,13147 Mercer Street,Pacoima,91343,CA,649000,1,2,1297
"2030 East Stockwell Street Compton, CA 90222",https://www.forsalebyowner.com/listing/_/640502207a1f153bed02d3cc,2030 East Stockwell Street,Compton,90222,CA,425000,1,1,4460
"LAKEVIEW DR/CAMARES DR Palmdale, CA 93551",https://www.forsalebyowner.com/listing/_/64020125a24226fdb90c85c7,LAKEVIEW DR/CAMARES DR,Palmdale,93551,CA,105000,0,0,0
"11434 Walnut Street Whittier, CA 90606",https://www.forsalebyowner.com/listing/_/63e058945a179708fc03c4c8,11434 Walnut Street,Whittier,90606,CA,830000,2,4,7177
"42623 28th Street West Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/63d162a9f67c450f48091d56,42623 28th Street West,Lancaster,93536,CA,425000,2,3,1308
"57 7th Street Hermosa Beach, CA 90254",https://www.forsalebyowner.com/listing/_/63c3020959d12bfb1607c304,57 7th Street,Hermosa Beach,90254,CA,7500000,6,4,4247
"7779 Varna Ave North Hollywood, CA 91605",https://www.forsalebyowner.com/listing/_/63bfeb41edeff74a8009d916,7779 Varna Ave,North Hollywood,91605,CA,1099000,0,0,15695
"750 S Bundy Dr Los Angeles, CA 90049",https://www.forsalebyowner.com/listing/_/6398d11955bf0210c70406b6,750 S Bundy Dr,Los Angeles,90049,CA,1295000,2.5,2,1785
"645 Lakeview Drive Palmdale, CA 93551",https://www.forsalebyowner.com/listing/_/6378a12c8c1a2999ee0738e7,645 Lakeview Drive,Palmdale,93551,CA,950000,3.5,5,3970
"Ashtree Drive, Lake Hughes, CA 93532 Lake Hughes, CA 93532",https://www.forsalebyowner.com/listing/_/6376c2d0bbde01207e040ae8,"Ashtree Drive, Lake Hughes, CA 93532",Lake Hughes,93532,CA,25000,0,0,0
"11038 Rhodesia Avenue Los Angeles, CA 91040",https://www.forsalebyowner.com/listing/_/63704681ceec99007c0e1f18,11038 Rhodesia Avenue,Los Angeles,91040,CA,9091600,2.5,3,7883
"5813 East Olympic Boulevard East Los Angeles, CA 90022",https://www.forsalebyowner.com/listing/_/6369c5f8898c707e55094be6,5813 East Olympic Boulevard,East Los Angeles,90022,CA,470000,2,2,880
"3562 Alana Dr. Sherman Oaks, CA 91403",https://www.forsalebyowner.com/listing/_/636580601b53691fc1010ef8,3562 Alana Dr.,Sherman Oaks,91403,CA,2399000,4,4,2835
"2.42 Acres in Llano Llano, CA 93544",https://www.forsalebyowner.com/listing/_/6362569d4c0dbb6df608d3d5,2.42 Acres in Llano,Llano,93544,CA,13499,0,0,0
"2.41 Acre in Lancaster Lancaster, CA 93535",https://www.forsalebyowner.com/listing/_/636183e8794442c59403a1d5,2.41 Acre in Lancaster,Lancaster,93535,CA,17999,0,0,0
"2.57 Acres in Lancaster Lancaster, CA 93535",https://www.forsalebyowner.com/listing/_/63617ce190c357a45001c688,2.57 Acres in Lancaster,Lancaster,93535,CA,15999,0,0,0
